Programme;SIREN;NIC;Dénomination;Montant;Objet 2020;Convention 2020;Date de création de l'établissement;Etat administratif;Siège;Répertoire national des associations;Catégorie juridique;COG : code;COG : libellé;Activité;Nomenclature de l'activité;Economie sociale et solidaire
101;301294831;88;APSIS EMERGENCE;          1 190,00;intervention au profit de  bénéficiaire(s) de l'aide juridictionnelle;;22/06/2010;Non déterminé;Non;;9220;57672;Thionville;88.99A;NAFRev2;O
101;301294831;88;APSIS EMERGENCE;         31 800,00;actions de médiation familiale et gestion d'un espace  de rencontre parent(s)-enfant(s);;22/06/2010;Non déterminé;Non;;9220;57672;Thionville;88.99A;NAFRev2;O
101;301295234;50;FAMILLES EN GIRONDE;          7 684,00;intervention au profit de  bénéficiaire(s) de l'aide juridictionnelle;;01/03/2002;Non déterminé;Non;W332014198;9220;33063;Bordeaux;88.99B;NAFRev2;O
101;301295234;50;FAMILLES EN GIRONDE;         31 000,00;prestations de médiation familiale;;01/03/2002;Non déterminé;Non;W332014198;9220;33063;Bordeaux;88.99B;NAFRev2;O
101;301311858;31;LE M A R S;        312 800,00;aide apportée à des victimes d'infraction pénale;;01/01/1984;Non déterminé;Non;W513002967;9220;51454;Reims;86.10Z;NAFRev2;O
101;301311858;49;LE M A R S;         14 600,00;aide apportée à des victimes d'infraction pénale;;28/03/2018;Non déterminé;Non;W513002967;9220;51454;Reims;88.99B;NAFRev2;O
101;301626545;26;MAISON DE LA FAMILLE;         10 000,00;prestations de médiation familiale;;01/01/1900;Non déterminé;Non;W923004275;9220;92064;Saint-Cloud;88.99B;NAFRev2;O
101;301792271;35;CENTRE D INFORMATION FEMININ ET FAM;         91 604,00;aide apportée à des victimes d'infraction pénale;;13/03/2019;Non déterminé;Non;;9220;57463;Metz;94.99Z;NAFRev2;O
101;302294517;57;UNION DEPART ASSOCIATIONS FAMILIALE;          2 400,00;intervention au profit de  bénéficiaire(s) de l'aide juridictionnelle;;01/11/1994;Non déterminé;Non;;9220;45234;Orléans;94.99Z;NAFRev2;O
101;304095037;61;UNION DEPART ASS FAMIL VAL OISE;         12 000,00;prestations de médiation familiale;;20/10/2009;Non déterminé;Non;W953001392;9220;95127;Cergy;86.10Z;NAFRev2;O
101;304318488;42;D ENTRAIDE ET DE RECLASSEMENT SOCIA;         11 082,00;aide apportée à des victimes d'infraction pénale;;01/01/2013;Non déterminé;Non;W343007270;9220;34172;Montpellier;87.90B;NAFRev2;O
101;304707979;31;ASSOCIATION POUR LA REINSERTION SOC;         16 000,00;gestion d'un espace de rencontre;;01/02/1980;Non déterminé;Non;W953000307;9220;95572;Saint-Ouen-l'Aumône;87.90B;NAFRev2;O
101;304890627;25;CAISSE REGLEMENTS PECUNIAIRES;      4 480 114,00;dotation de barreau(x) pour la rétribution des avocats intervenant au titre de l'aide juridique;;01/01/2001;Non déterminé;Non;;9220;63113;Clermont-Ferrand;94.99Z;NAFRev2;O
101;305242893;124;ASSOC DEP PUPILLES ENSEIGNEMENT PUB;         23 000,00;gestion d'un espace de rencontre;;13/07/2016;Non déterminé;Non;W091000118;9220;9225;Pamiers;88.99A;NAFRev2;O
101;305833691;28;CENTRE D  INFORMATION SUR LES DROIT;         10 117,00;prestations de médiation familiale;;01/01/2004;Non déterminé;Non;;9260;67482;Strasbourg;88.99B;NAFRev2;O
101;305915878;48;CAIS REGL PECUN AVOCATS COUR APPEL;      4 302 624,00;dotation de barreau(x) pour la rétribution des avocats intervenant au titre de l'aide juridique;;01/02/1997;Non déterminé;Non;;9220;13001;Aix-en-Provence;94.99Z;NAFRev2;O
101;305935751;27;CAISSE AUTONOME REGL PECUNIAIRE AVO;      1 471 000,00;dotation de barreau(x) pour la rétribution des avocats intervenant au titre de l'aide juridique;;02/11/2011;Non déterminé;Non;;9220;24322;Périgueux;94.11Z;NAFRev2;N
101;306562448;28;CAISSE REGLEM  PECUNIA  AVOCATS GRA;      2 599 804,00;dotation de barreau(x) pour la rétribution des avocats intervenant au titre de l'aide juridique;;01/04/2003;Non déterminé;Non;W061006996;9220;6069;Grasse;94.99Z;NAFRev2;O
101;307259218;13;CAISSE AUTON REGLEM PECUNIERS AVOCA;      4 864 848,00;dotation de barreau(x) pour la rétribution des avocats intervenant au titre de l'aide juridique;;01/01/1900;Non déterminé;Non;;9220;57463;Metz;66.19B;NAFRev2;O
101;308648484;35;CARPA OUEST ATLANTIQUE BRETAGNE;     19 533 970,00;dotation de barreau(x) pour la rétribution des avocats intervenant au titre de l'aide juridique;;01/01/2013;Non déterminé;Non;;9220;44109;Nantes;94.12Z;NAFRev2;O
101;308851922;77;UNION DEPART  ASSOC FAMILIALES;            868,50;intervention au profit de  bénéficiaire(s) de l'aide juridictionnelle;;04/12/2008;Non déterminé;Non;W291000545;9220;29019;Brest;94.99Z;NAFRev2;O
101;308851922;77;UNION DEPART  ASSOC FAMILIALES;         17 494,00;intervention au profit de  bénéficiaire(s) de l'aide juridictionnelle;;04/12/2008;Non déterminé;Non;W291000545;9220;29019;Brest;94.99Z;NAFRev2;O
101;308851922;77;UNION DEPART  ASSOC FAMILIALES;         40 309,00;actions de médiation familiale et gestion d'un espace  de rencontre parent(s)-enfant(s);;04/12/2008;Non déterminé;Non;W291000545;9220;29019;Brest;94.99Z;NAFRev2;O
101;308851922;77;UNION DEPART  ASSOC FAMILIALES;            350,00;intervention au profit de  bénéficiaire(s) de l'aide juridictionnelle;;04/12/2008;Non déterminé;Non;W291000545;9220;29019;Brest;94.99Z;NAFRev2;O
101;309305472;313;LES PEP 71;         12 500,00;actions de médiation familiale et gestion d'un espace  de rencontre parent(s)-enfant(s);;01/01/2013;Non déterminé;Non;;9220;71076;Chalon-sur-Saône;87.90B;NAFRev2;O
101;309432086;10;CARPA CAISSE REGLEM AVOCATS;      3 172 727,00;dotation de barreau(x) pour la rétribution des avocats intervenant au titre de l'aide juridique;;01/01/1900;Non déterminé;Non;;9220;68224;Mulhouse;94.11Z;NAFRev2;N
101;309799229;62;CENTRE D INFORMATION SUR LES DROITS;         22 996,00;aide apportée à des victimes d'infraction pénale;;01/03/2006;Non déterminé;Non;W263002938;9220;26362;Valence;94.99Z;NAFRev2;O
101;309990976;16;AGENA;         28 000,00;aide apportée à des victimes d'infraction pénale;;01/01/1900;Non déterminé;Non;W802002158;9220;80021;Amiens;87.90B;NAFRev2;O
101;310880778;157;POUR LA JUSTICE L ACCUEIL ET LA REI;        339 150,00;aide apportée à des victimes d'infraction pénale;;18/02/2016;Non déterminé;Non;W596000038;9220;59606;Valenciennes;88.99B;NAFRev2;O
101;310996491;26;CARPA DU BARREAU DE BAYONNE;      1 707 937,00;dotation de barreau(x) pour la rétribution des avocats intervenant au titre de l'aide juridique;;01/04/1995;Non déterminé;Non;W641003526;9220;64102;Bayonne;94.12Z;NAFRev2;O
101;311687784;26;CAISSE REGLEMENT RECU AVOCATS;      5 295 000,00;dotation de barreau(x) pour la rétribution des avocats intervenant au titre de l'aide juridique;;01/03/2004;Non déterminé;Non;W953000448;9220;95500;Pontoise;94.99Z;NAFRev2;O
101;312010200;37;CARPAR REGLEM AVOCATS ROUEN;      6 186 917,00;dotation de barreau(x) pour la rétribution des avocats intervenant au titre de l'aide juridique;;28/02/1995;Non déterminé;Non;;9220;76540;Rouen;94.99Z;NAFRev2;O
101;312149388;18;CAISSE REGLEMENT SCE AVOCATS;        602 000,00;dotation de barreau(x) pour la rétribution des avocats intervenant au titre de l'aide juridique;;01/01/1978;Non déterminé;Non;;9220;4070;Digne-les-Bains;94.99Z;NAFRev2;O
101;312264237;32;ASS CARPA BESANCON;      2 100 000,00;dotation de barreau(x) pour la rétribution des avocats intervenant au titre de l'aide juridique;;15/12/2007;Non déterminé;Non;;9220;25056;Besançon;94.99Z;NAFRev2;O
101;312456312;15;CAISSE AUTON REGLE PECUNAIRES AVOCA;      3 812 429,00;dotation de barreau(x) pour la rétribution des avocats intervenant au titre de l'aide juridique;;01/01/1978;Non déterminé;Non;;9220;30189;Nîmes;94.99Z;NAFRev2;O
101;312517923;164;CENTRE D INFORMATION SUR LE DROIT D;         35 000,00;aide apportée à des victimes d'infraction pénale;;01/10/2010;Non déterminé;Non;W941000921;9220;94028;Créteil;94.99Z;NAFRev2;O
101;312680846;10;CARPA CAISSE REGLE SERV BAR AM;      5 208 678,00;dotation de barreau(x) pour la rétribution des avocats intervenant au titre de l'aide juridique;;01/01/1978;Non déterminé;Non;;9220;80021;Amiens;94.99Z;NAFRev2;O
101;312844475;29;CAISSE REGLEMENTS PECUNIAIRES AVOCA;     10 611 000,00;dotation de barreau(x) pour la rétribution des avocats intervenant au titre de l'aide juridique;;14/05/1984;Non déterminé;Non;W595003850;9220;59350;Lille;94.12Z;NAFRev2;O
101;313088817;17;CAISSE REGLE PECUN AVOCAT BARREAU L;      3 005 415,00;dotation de barreau(x) pour la rétribution des avocats intervenant au titre de l'aide juridique;;01/01/1978;Non déterminé;Non;;9220;87085;Limoges;94.12Z;NAFRev2;O
101;313209066;23;CAISSE REGIONALE PROFESSION AVOCAT;      1 723 518,00;dotation de barreau(x) pour la rétribution des avocats intervenant au titre de l'aide juridique;;15/07/2016;Non déterminé;Non;;9220;10387;Troyes;94.11Z;NAFRev2;N
101;313210213;51;ECOLE DES PARENTS ET EDUCATEURS;         20 000,00;gestion d'un espace de rencontre;;12/10/2017;Non déterminé;Non;;9220;13208;Marseille 8e Arrondissement;85.59A;NAFRev2;O
101;313385098;48;ASSOCIATION POUR COUPLE ET L ENFANT;          4 281,24;intervention au profit de  bénéficiaire(s) de l'aide juridictionnelle;;01/01/2000;Non déterminé;Non;W751046936;9220;94080;Vincennes;94.99Z;NAFRev2;O
101;313385098;48;ASSOCIATION POUR COUPLE ET L ENFANT;            700,00;intervention au profit de  bénéficiaire(s) de l'aide juridictionnelle;;01/01/2000;Non déterminé;Non;W751046936;9220;94080;Vincennes;94.99Z;NAFRev2;O
101;313385098;89;ASSOCIATION POUR COUPLE ET L ENFANT;         52 300,00;actions de médiation familiale et gestion d'un espace  de rencontre parent(s)-enfant(s);;01/01/2008;Non déterminé;Non;W751046936;9220;93027;La Courneuve;94.99Z;NAFRev2;O
101;313385098;162;ASSOCIATION POUR COUPLE ET L ENFANT;          4 113,77;intervention au profit de  bénéficiaire(s) de l'aide juridictionnelle;;01/01/2019;Non déterminé;Non;W751046936;9220;75111;Paris 11e Arrondissement;94.99Z;NAFRev2;O
101;313385098;162;ASSOCIATION POUR COUPLE ET L ENFANT;            776,00;Transfert direct aux ménages qui transitent par une association;;01/01/2019;Non déterminé;Non;W751046936;9220;75111;Paris 11e Arrondissement;94.99Z;NAFRev2;O
101;313499105;10;CENTRE D INFORMATION SUR LES DROITS;         11 019,00;prestations de médiation familiale;;01/01/1978;Non déterminé;Non;W313001229;9220;31555;Toulouse;94.99Z;NAFRev2;O
101;313630980;16;ASSOCIATION SOELIFA;          1 000,00;intervention au profit de  bénéficiaire(s) de l'aide juridictionnelle;;01/01/1978;Non déterminé;Non;W863000323;9220;86194;Poitiers;96.09Z;NAFRev2;O
101;313630980;16;ASSOCIATION SOELIFA;         20 000,00;actions de médiation familiale et gestion d'un espace  de rencontre parent(s)-enfant(s);;01/01/1978;Non déterminé;Non;W863000323;9220;86194;Poitiers;96.09Z;NAFRev2;O
101;313925133;16;CAIS AUTO REGLE PECUN AVOCATS BARRE;      3 376 021,00;dotation de barreau(x) pour la rétribution des avocats intervenant au titre de l'aide juridique;;01/01/1978;Non déterminé;Non;W662000367;9220;66136;Perpignan;94.12Z;NAFRev2;O
101;314175829;14;CENTRE D INFORMATION DROITS DES FEM;          3 000,00;prestations de médiation familiale;;01/01/1900;Non déterminé;Non;W595010063;9220;59512;Roubaix;88.99B;NAFRev2;O
101;314329061;43;ASSOCIATION L ATELIER;          8 000,00;gestion d'un espace de rencontre;;01/04/2006;Non déterminé;Non;W241001097;9220;24037;Bergerac;88.99B;NAFRev2;O
101;314342882;29;CAISSE REGLEMENT PECUNIER AVOCATS;      1 425 089,00;dotation de barreau(x) pour la rétribution des avocats intervenant au titre de l'aide juridique;;01/01/1998;Non déterminé;Non;W402003112;9220;40192;Mont-de-Marsan;94.11Z;NAFRev2;N
101;315063214;201;ASSOCIATION REGIONALE POUR L INSERT;            778,30;intervention au profit de  bénéficiaire(s) de l'aide juridictionnelle;;01/01/2017;Non déterminé;Non;W941002935;9220;77284;Meaux;88.99B;NAFRev2;O
101;315063214;219;ASSOCIATION REGIONALE POUR L INSERT;          2 270,22;intervention au profit de  bénéficiaire(s) de l'aide juridictionnelle;;01/01/2017;Non déterminé;Non;W941002935;9220;77284;Meaux;70.10Z;NAFRev2;O
101;315063214;219;ASSOCIATION REGIONALE POUR L INSERT;          4 623,66;intervention au profit de  bénéficiaire(s) de l'aide juridictionnelle;;01/01/2017;Non déterminé;Non;W941002935;9220;77284;Meaux;70.10Z;NAFRev2;O
101;315257048;27;CARPA;      7 684 114,00;dotation de barreau(x) pour la rétribution des avocats intervenant au titre de l'aide juridique;;15/04/1993;Non déterminé;Non;;9220;34172;Montpellier;94.12Z;NAFRev2;O
101;315334128;40;ARAJUFA FRANCE VICTIMES REUNION;        120 090,00;aide apportée à des victimes d'infraction pénale;;01/04/2019;Non déterminé;Non;W9R1000429;9220;97411;Saint-Denis;88.99B;NAFRev2;O
101;315385112;26;CTRE INFOR FEMININ FAMILIAL DROITS;          7 500,00;prestations de médiation familiale;;01/03/1988;Non déterminé;Non;W012005908;9220;1053;Bourg-en-Bresse;94.99Z;NAFRev2;O
101;315632240;26;CAISSE REGLEMENT PECUNIAIRE DES AVO;      1 711 648,00;dotation de barreau(x) pour la rétribution des avocats intervenant au titre de l'aide juridique;;01/06/1985;Non déterminé;Non;W513001875;9220;51454;Reims;94.12Z;NAFRev2;O
101;315682690;21;UNION DEPARTEMENTALE ASS FAMILIALE;          1 312,50;intervention au profit de  bénéficiaire(s) de l'aide juridictionnelle;;20/03/1998;Non déterminé;Non;W9R1000662;9220;97411;Saint-Denis;87.20A;NAFRev2;O
101;315682690;21;UNION DEPARTEMENTALE ASS FAMILIALE;         72 983,00;actions de médiation familiale et gestion d'un espace  de rencontre parent(s)-enfant(s);;20/03/1998;Non déterminé;Non;W9R1000662;9220;97411;Saint-Denis;87.20A;NAFRev2;O
101;315682690;47;UNION DEPARTEMENTALE ASS FAMILIALE;            262,50;intervention au profit de  bénéficiaire(s) de l'aide juridictionnelle;;25/04/2016;Non déterminé;Non;W9R1000662;9220;97418;Sainte-Marie;87.20A;NAFRev2;O
101;316201185;14;CAISS AUTO REGLE PECU AVOCATS;      1 440 000,00;dotation de barreau(x) pour la rétribution des avocats intervenant au titre de l'aide juridique;;01/01/1979;Non déterminé;Non;;9220;8105;Charleville-Mézières;69.10Z;NAFRev2;O
101;316344233;36;UNION NATIONALE DES CARPA;         65 000,00;fourniture de données sur les rétributions versées aux avocats;;01/07/1991;Non déterminé;Non;W751038960;9220;75106;Paris 6e Arrondissement;94.12Z;NAFRev2;O
101;316466507;27;ECOLE DES PARENTS   EDUCATEURS D AN;         23 000,00;prestations de médiation familiale;;01/01/1982;Non déterminé;Non;W741002712;9220;74010;Annecy;94.99Z;NAFRev2;O
101;316671858;25;CAISSE DES REGLEMENTS PECUNIAIRES D;      3 890 000,00;dotation de barreau(x) pour la rétribution des avocats intervenant au titre de l'aide juridique;;15/04/1982;Non déterminé;Non;;9260;67482;Strasbourg;94.11Z;NAFRev2;N
101;316671858;33;CAISSE DES REGLEMENTS PECUNIAIRES D;      2 373 032,00;dotation de barreau(x) pour la rétribution des avocats intervenant au titre de l'aide juridique;;29/06/2016;Non déterminé;Non;;9260;67482;Strasbourg;94.11Z;NAFRev2;N
101;317118941;28;VIFFIL SOS FEMMES;        406 080,00;aide apportée à des victimes d'infraction pénale;;10/02/1981;Non déterminé;Non;;9220;69266;Villeurbanne;87.90B;NAFRev2;O
101;317400430;37;CAISSE DES REGLEMENTS PECUNIAIRES D;      3 801 961,00;dotation de barreau(x) pour la rétribution des avocats intervenant au titre de l'aide juridique;;17/12/2012;Non déterminé;Non;W832005930;9220;83137;Toulon;94.12Z;NAFRev2;O
101;317427649;49;ASSOCIATION DEPARTEMENTALE DE SAUVE;            660,00;intervention au profit de  bénéficiaire(s) de l'aide juridictionnelle;;01/11/2017;Non déterminé;Non;W043000236;9220;4070;Digne-les-Bains;88.99A;NAFRev2;O
101;317427649;49;ASSOCIATION DEPARTEMENTALE DE SAUVE;         34 956,00;actions de médiation familiale et gestion d'un espace  de rencontre parent(s)-enfant(s);;01/11/2017;Non déterminé;Non;W043000236;9220;4070;Digne-les-Bains;88.99A;NAFRev2;O
101;317528008;277;ASSOCIATION MEUSIENNE POUR LA SAUVE;            512,00;intervention au profit de  bénéficiaire(s) de l'aide juridictionnelle;;01/01/2019;Non déterminé;Non;W553000203;9220;55545;Verdun;88.99B;NAFRev2;O
101;317528008;277;ASSOCIATION MEUSIENNE POUR LA SAUVE;          7 000,00;prestations de médiation familiale;;01/01/2019;Non déterminé;Non;W553000203;9220;55545;Verdun;88.99B;NAFRev2;O
101;317576304;73;SOLIDARITE FEMMES LOIRE ATLANTIQUE;         14 300,00;aide apportée à des victimes d'infraction pénale;;16/12/2016;Non déterminé;Non;W442002043;9220;44109;Nantes;87.90B;NAFRev2;O
101;318549961;15;CIFF CIDF DE MOSELLE EST;         37 677,00;aide apportée à des victimes d'infraction pénale;;01/01/1980;Non déterminé;Non;;9220;57227;Forbach;94.99Z;NAFRev2;O
101;318721685;51;SAVOIE DE FEMME;         24 702,00;aide apportée à des victimes d'infraction pénale;;02/12/2013;Non déterminé;Non;W732000525;9220;73065;Chambéry;88.99B;NAFRev2;O
101;318732161;35;CENTRE D ACTION SOCIALE PROTESTANT;          7 500,00;action nationale en matière d'accès au droit;;13/06/1988;Non déterminé;Non;W751045704;9220;75112;Paris 12e Arrondissement;87.90B;NAFRev2;O
101;319641890;52;ASSOCIATION DE SOUTIEN DE LA DORDOG;         29 337,00;actions de médiation familiale et gestion d'un espace  de rencontre parent(s)-enfant(s);;23/07/2009;Non déterminé;Non;W243002136;9220;24322;Périgueux;87.90B;NAFRev2;O
101;319754404;48;MVT FRANCAIS POUR PLANNING FAM;            768,00;intervention au profit de  bénéficiaire(s) de l'aide juridictionnelle;;10/01/2011;Non déterminé;Non;;9220;42218;Saint-Étienne;94.99Z;NAFRev2;O
101;319754404;48;MVT FRANCAIS POUR PLANNING FAM;          7 900,00;prestations de médiation familiale;;10/01/2011;Non déterminé;Non;;9220;42218;Saint-Étienne;94.99Z;NAFRev2;O
101;320543564;50;ECOLE PARENTS EDUCATEURS REG TOULOU;          4 500,00;prestations de médiation familiale;;23/03/2006;Non déterminé;Non;W313000621;9220;31555;Toulouse;85.59A;NAFRev2;O
101;320734288;14;ASSOCIATION POLITIQUE CRIMINELLE AP;        403 632,00;aide apportée à des victimes d'infraction pénale;;03/10/1980;Non déterminé;Non;W751055217;9220;75101;Paris 1er Arrondissement;88.99B;NAFRev2;O
101;321254120;25;SOS FEMMES 77;          8 429,00;aide apportée à des victimes d'infraction pénale;;01/02/2001;Non déterminé;Non;W771001544;9220;77284;Meaux;87.90B;NAFRev2;O
101;321676488;34;ASSOCIATION DE MEDIATION D ACCOMPAG;         32 400,00;actions de médiation familiale et gestion d'un espace  de rencontre parent(s)-enfant(s);;31/07/2016;Non déterminé;Non;W713001675;9220;71106;Charolles;88.99B;NAFRev2;O
101;322190554;20;ASSOCIATION VIE ET LIBERTE;         21 500,00;actions de médiation familiale et gestion d'un espace  de rencontre parent(s)-enfant(s);;01/11/2008;Non déterminé;Non;W715000651;9220;71270;Mâcon;88.99B;NAFRev2;O
101;322687195;48;CENTRE D INFORMATION SUR LES DROITS;         19 500,00;aide apportée à des victimes d'infraction pénale;;03/03/2020;Non déterminé;Non;W491003684;9220;49007;Angers;94.99Z;NAFRev2;O
101;323491746;34;CTRE DE DOC INFORMATION FEMMES FAMI;          2 000,00;aide apportée à des victimes d'infraction pénale;;01/07/2003;Non déterminé;Non;W411001894;9220;41018;Blois;94.99Z;NAFRev2;O
101;323823914;11;CAISSE AUTONOME REGLEMENT PECUNIA A;        549 000,00;dotation de barreau(x) pour la rétribution des avocats intervenant au titre de l'aide juridique;;09/02/1982;Non déterminé;Non;W032000045;9220;3190;Moulins;94.99Z;NAFRev2;O
101;323934323;45;CULTURES LOISIRS ANIMATIONS DE LA V;          2 500,00;prestations de médiation familiale;;11/02/1991;Non déterminé;Non;W923001297;9220;92040;Issy-les-Moulineaux;94.99Z;NAFRev2;O
101;323962274;37;CENTRE D INFORMATION SUR LES DROITS;         13 000,00;aide apportée à des victimes d'infraction pénale;;01/07/1998;Non déterminé;Non;W842000753;9220;84007;Avignon;94.99Z;NAFRev2;O
101;324498443;54;ECOLE DES PARENTS ET DES EDUCATEURS;          2 560,00;intervention au profit de  bénéficiaire(s) de l'aide juridictionnelle;;01/10/2014;Non déterminé;Non;W142002936;9220;14327;Hérouville-Saint-Clair;85.59A;NAFRev2;O
101;324498443;54;ECOLE DES PARENTS ET DES EDUCATEURS;          3 000,00;prestations de médiation familiale;;01/10/2014;Non déterminé;Non;W142002936;9220;14327;Hérouville-Saint-Clair;85.59A;NAFRev2;O
101;324893833;40;CENTRE D INFORMATION SUR LES DROITS;          2 200,00;prestations de médiation familiale;;01/03/2001;Non déterminé;Non;W161000874;9220;16015;Angoulême;94.99Z;NAFRev2;O
101;325017879;132;CTRE INFORMATION DOCUMENTATION FEMM;         26 000,00;aide apportée à des victimes d'infraction pénale;;01/01/2004;Non déterminé;Non;W763003412;9220;76540;Rouen;94.99Z;NAFRev2;O
101;325267904;10;ASSO LA HAUT;            290,00;intervention au profit de  bénéficiaire(s) de l'aide juridictionnelle;;04/05/1982;Non déterminé;Non;W642001501;9220;64422;Oloron-Sainte-Marie;88.99B;NAFRev2;O
101;325347045;57;FEDERATION NATIONALE SOLIDARITE FEM;         40 000,00;action nationale en matière d'aide aux victimes  d'infraction pénale;;02/02/2009;Non déterminé;Non;W751120500;9220;75119;Paris 19e Arrondissement;88.99B;NAFRev2;O
101;325507234;20;CARPA CAMBRAI;      1 018 000,00;dotation de barreau(x) pour la rétribution des avocats intervenant au titre de l'aide juridique;;01/02/2000;Non déterminé;Non;;9220;59122;Cambrai;94.99Z;NAFRev2;O
101;325569283;14;AIDE VICT INFORM PROBL PENAUX;        191 880,00;aide apportée à des victimes d'infraction pénale;;15/09/1982;Non déterminé;Non;;9220;76540;Rouen;94.99Z;NAFRev2;O
101;325751717;68;CTRE INFOR DROITS FEMMES FAMILLES L;          7 850,00;aide apportée à des victimes d'infraction pénale;;05/01/2009;Non déterminé;Non;W452005365;9220;45234;Orléans;94.99Z;NAFRev2;O
101;325825081;38;CTRE INFORMATION DROITS DES FEMMES;         37 112,00;aide apportée à des victimes d'infraction pénale et  actions de médiation familiale;;01/01/2005;Non déterminé;Non;W343006340;9220;34172;Montpellier;94.99Z;NAFRev2;O
101;325866481;14;CENTRE  D INFORMATION SUR LE DROIT;         18 085,00;aide apportée à des victimes d'infraction pénale;;02/11/1982;Non déterminé;Non;W291002312;9220;29019;Brest;88.99B;NAFRev2;O
101;326143070;42;CIDF;         12 000,00;gestion d'un espace de rencontre;;22/01/2009;Non déterminé;Non;;9220;54329;Lunéville;88.99B;NAFRev2;O
101;326225331;56;ASS THIONVILLE ESSORT NOUVEL ESPACE;          3 300,00;aide apportée à des victimes d'infraction pénale;;21/01/2013;Non déterminé;Non;;9220;57672;Thionville;87.90B;NAFRev2;O
101;326685633;74;ASSOCIATION POUR LA SOLIDARITE ACTI;         13 540,00;actions de médiation familiale et gestion d'un espace  de rencontre parent(s)-enfant(s);;01/01/2010;Non déterminé;Non;W627000420;9220;62498;Lens;87.90B;NAFRev2;O
101;326863446;67;ASSOCIATION COIN FAMILIAL;         23 150,00;gestion d'un espace de rencontre;;01/12/2015;Non déterminé;Non;W621001634;9220;62041;Arras;87.90B;NAFRev2;O
101;327755591;36;ASS AIDE VICTIMES ACTES DELINQUANCE;        368 500,00;aide apportée à des victimes d'infraction pénale;;20/10/2000;Non déterminé;Non;W133003203;9220;13202;Marseille 2e Arrondissement;88.99B;NAFRev2;O
101;328090147;13;CAISSE REGLEMENT PECUNIARES AVOCATS;      6 484 210,00;dotation de barreau(x) pour la rétribution des avocats intervenant au titre de l'aide juridique;;28/02/1980;Non déterminé;Non;;9220;78646;Versailles;94.99Z;NAFRev2;O
101;328180757;36;ASSOC  AIDE AUX VICTIMES D INFRACTI;        204 974,72;aide apportée à des victimes d'infraction pénale;;08/11/2001;Non déterminé;Non;W251003959;9220;25056;Besançon;94.99Z;NAFRev2;O
101;328194212;36;GROUPEMENT LA TRAVERSE;         62 297,00;aide apportée à des victimes d'infraction pénale;;01/10/1997;Non déterminé;Non;W482000285;9220;48095;Mende;94.99Z;NAFRev2;O
101;328274907;18;CAISSE REGLEMENTS PECUNIAIRES AVOCA;        489 305,00;dotation de barreau(x) pour la rétribution des avocats intervenant au titre de l'aide juridique;;01/10/1983;Non déterminé;Non;;9220;85194;Les Sables-d'Olonne;94.11Z;NAFRev2;N
101;328298369;54;AIDE AUX VICTIMES   INTERVENTION JU;          5 974,58;intervention au profit de  bénéficiaire(s) de l'aide juridictionnelle;;01/10/2015;Non déterminé;Non;W742001724;9220;74010;Annecy;69.10Z;NAFRev2;O
101;328298369;54;AIDE AUX VICTIMES   INTERVENTION JU;        522 731,00;aide apportée à des victimes d'infraction pénale et  gestion d'un espace de rencontre parent(s)-enfant(s);;01/10/2015;Non déterminé;Non;W742001724;9220;74010;Annecy;69.10Z;NAFRev2;O
101;328582820;28;FRANCE VICTIMES 34;        286 078,00;aide apportée à des victimes d'infraction pénale;;18/10/1984;Non déterminé;Non;W343013390;9220;34172;Montpellier;94.99Z;NAFRev2;O
101;328723804;30;ASS REINSER DES DELINQUANTS ET AIDE;         72 350,00;aide apportée à des victimes d'infraction pénale;;16/10/1995;Non déterminé;Non;W191001941;9220;19031;Brive-la-Gaillarde;88.99B;NAFRev2;O
101;328724034;41;ENFANCE ET PARTAGE;          1 050,00;intervention au profit de  bénéficiaire(s) de l'aide juridictionnelle;;01/01/2004;Non déterminé;Non;W751043869;9220;75111;Paris 11e Arrondissement;88.99B;NAFRev2;O
101;328724034;58;ENFANCE ET PARTAGE;          5 899,00;intervention au profit de  bénéficiaire(s) de l'aide juridictionnelle;;15/04/2015;Non déterminé;Non;W751043869;9220;75120;Paris 20e Arrondissement;88.99B;NAFRev2;O
101;328724034;58;ENFANCE ET PARTAGE;         38 880,00;aide apportée à des victimes d'infraction pénale;;15/04/2015;Non déterminé;Non;W751043869;9220;75120;Paris 20e Arrondissement;88.99B;NAFRev2;O
101;328802574;25;CAISSE REGLE PECU BARREAU CHAMBERY;      1 347 021,00;dotation de barreau(x) pour la rétribution des avocats intervenant au titre de l'aide juridique;;30/10/1996;Non déterminé;Non;W732002093;9220;73065;Chambéry;94.99Z;NAFRev2;O
101;328908264;26;CAISSE REGL PECUNIAIRES AVOCATS BOU;        702 432,00;dotation de barreau(x) pour la rétribution des avocats intervenant au titre de l'aide juridique;;01/06/1998;Non déterminé;Non;;9220;38053;Bourgoin-Jallieu;94.99Z;NAFRev2;O
101;329118947;46;ASSOCIATION SOLIDARITE FEMMES;          4 000,00;aide apportée à des victimes d'infraction pénale;;24/03/2015;Non déterminé;Non;W212001919;9220;21231;Dijon;94.99Z;NAFRev2;O
101;329254395;18;CARPAN CAISS PECUN AVOC NARBON;      1 319 775,00;dotation de barreau(x) pour la rétribution des avocats intervenant au titre de l'aide juridique;;01/06/1983;Non déterminé;Non;;9220;11262;Narbonne;94.12Z;NAFRev2;O
