Programme;SIREN;NIC;Dénomination;Montant;Objet 2020;Convention 2020;Date de création de l'établissement;Etat administratif;Siège;Répertoire national des associations;Catégorie juridique;COG : code;COG : libellé;Activité;Nomenclature de l'activité;Economie sociale et solidaire
147;378117873;42;FRICHES THEATRE URBAIN;         21 000,00;Animation sociale des quartiers;;01/12/2016;Non déterminé;Non;W751137546;9220;46228;Prudhomat;90.01Z;NAFRev2;O
147;378123657;25;ASS DEVELOPPEMENT COMMUNICATION;          8 500,00;Dispositif d'insertion sociale par le sport, la culture ou  l'éducation;;07/01/1999;Non déterminé;Non;;9220;51108;Châlons-en-Champagne;60.10Z;NAFRev2;O
147;378125868;42;SECOURS POPULAIRE FRANCAIS;          6 400,00;Insertion sociale et dans l'emploi;;01/10/2017;Non déterminé;Non;W523000241;9220;52121;Chaumont;88.99B;NAFRev2;O
147;378135313;13;L ATELIER D IMAGE PLUS;          1 500,00;Dispositif d'insertion sociale par le sport, la culture ou  l'éducation;;02/04/1990;Non déterminé;Non;W881001922;9220;88160;Épinal;60.20B;NAFRev2;O
147;378179030;51;A.C.L PROXI POL.;          1 000,00;Dispositif d'insertion sociale par le sport, la culture ou  l'éducation;;01/02/2017;Non déterminé;Non;W594000503;9220;59183;Dunkerque;88.99B;NAFRev2;O
147;378194658;50;CENTRE INFORMATION JEUNESSE HAUTE S;          2 050,00;Insertion sociale et dans l'emploi;;01/03/2010;Non déterminé;Non;W702000044;9220;70550;Vesoul;94.99Z;NAFRev2;O
147;378194963;21;COMITE DEP DE HAND-BALL DE LA HTE-V;          3 000,00;Animation sociale des quartiers;;16/08/2011;Non déterminé;Non;W872002401;9220;87085;Limoges;93.12Z;NAFRev2;O
147;378195473;20;ASSOCIATION FAMILIALE DU MARSAN;          3 000,00;Dispositif d'insertion sociale par le sport, la culture ou  l'éducation;;04/01/2017;Non déterminé;Non;W402003235;9220;40192;Mont-de-Marsan;94.99Z;NAFRev2;O
147;378212666;36;MISSION LOCALE JEUNES DU PAYS D AIX;         40 860,00;Discrim'action : 25 000 €. AAP Parrainage vers l'emploi : 15 860 €.;;14/02/2013;Non déterminé;Non;W131004686;9220;13001;Aix-en-Provence;84.13Z;NAFRev2;N
147;378212666;36;MISSION LOCALE JEUNES DU PAYS D AIX;          3 000,00;Bien manger pour bien grandir;;14/02/2013;Non déterminé;Non;W131004686;9220;13001;Aix-en-Provence;84.13Z;NAFRev2;N
147;378213532;39;LA RESU RENCONTRE ECOUTE SOLIDARITE;          1 500,00;Insertion sociale et dans l'emploi;;15/10/2015;Non déterminé;Non;;9260;67482;Strasbourg;88.99B;NAFRev2;O
147;378215826;25;ASSOCIATION PORTES OUVERTES;          1 300,00;Dispositif d'insertion sociale par le sport, la culture ou  l'éducation;;01/11/2003;Non déterminé;Non;W653000759;9220;65440;Tarbes;85.59A;NAFRev2;O
147;378217962;42;MISSION LOCALE DU PAYS DE DINAN;          1 525,00;Accueil des jeunes 16-25 ans : emploi, santé,  formation, accompagnement social;;20/02/2014;Non déterminé;Non;;9220;22050;Dinan;84.13Z;NAFRev2;N
147;378217962;42;MISSION LOCALE DU PAYS DE DINAN;          5 000,00;Accueil des jeunes 16-25 ans : emploi, santé,  formation, accompagnement social;;20/02/2014;Non déterminé;Non;;9220;22050;Dinan;84.13Z;NAFRev2;N
147;378244958;21;ASS FRANC CTRE CONSULTATION CONJUGA;          2 000,00;Dispositif d'insertion sociale par le sport, la culture ou  l'éducation;;01/10/1998;Non déterminé;Non;;9220;35238;Rennes;96.09Z;NAFRev2;O
147;378246235;30;ASSOC MANDATAIRE PRESTAT CHATEAU SI;          6 000,00;Dispositif d'insertion sociale par le sport, la culture ou  l'éducation;;01/12/2017;Non déterminé;Non;W302008578;9220;30189;Nîmes;88.99B;NAFRev2;O
147;378248199;36;ASS POUR DIALOGUE & ORIENTATION SCO;         17 500,00;Dispositif d'insertion sociale par le sport, la culture ou  l'éducation;;20/11/2000;Non déterminé;Non;W751080645;9220;75118;Paris 18e Arrondissement;94.99Z;NAFRev2;O
147;378254668;15;ASSOCIATION MAISON QUARTIER DE BAGA;          1 000,00;Animation sociale des quartiers;;01/07/1973;Non déterminé;Non;W313016200;9220;31555;Toulouse;94.99Z;NAFRev2;O
147;378254668;15;ASSOCIATION MAISON QUARTIER DE BAGA;          2 500,00;Animation sociale des quartiers;;01/07/1973;Non déterminé;Non;W313016200;9220;31555;Toulouse;94.99Z;NAFRev2;O
147;378262281;33;ASSOCIATION CONJUGUE;         69 242,00;Animation sociale des quartiers;;01/07/1995;Non déterminé;Non;;9220;95018;Argenteuil;88.91A;NAFRev2;O
147;378271068;33;SECOURS POPULAIRE FRANCAIS;          1 950,00;Insertion sociale et dans l'emploi;;01/06/2016;Non déterminé;Non;W321000181;9220;32013;Auch;88.99B;NAFRev2;O
147;378280325;36;COMITE DEPARTEMENTAL DE TENNIS;          2 600,00;Dispositif d'insertion sociale par le sport, la culture ou  l'éducation;;20/09/2017;Non déterminé;Non;W151000683;9220;15014;Aurillac;93.12Z;NAFRev2;O
